No.,Time,Source,Destination,Protocol,Length,Info,Clasificacion_MLP,Clasificacion_RF,Confianza_MLP,Confianza_RF
3756,6.976918,10.157.66.26,2.19.172.145,TCP,66,[TCP Dup ACK 3702#2] 50089  >  443 [ACK] Seq=7922 Ack=4372663 Win=8217 Len=0 SLE=4403323 SRE=4461723,Normal,Normal,100.0%,100.0%
3757,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3758,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3759,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3760,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3761,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3762,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3763,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3764,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3765,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3766,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3767,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3768,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3769,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3770,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3771,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3772,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3773,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3774,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3775,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3776,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3777,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3778,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3779,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3780,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3781,6.977024,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3782,6.977024,2.19.172.145,10.157.66.26,TCP,1514,"443  >  50089 [PSH, ACK] Seq=4498223 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812]",Normal,Normal,100.0%,100.0%
3783,6.977024,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4499683 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3784,6.977024,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4501143 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3785,6.977024,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4502603 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3786,6.977024,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4504063 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3787,6.977024,2.19.172.145,10.157.66.26,TCP,1514,"443  >  50089 [PSH, ACK] Seq=4505523 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812]",Normal,Normal,100.0%,100.0%
3788,6.977024,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4506983 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
